Time (s),F43 (N),L43 (mm),F44 (N),L44 (mm),F45 (N),L45 (mm),F47 (N),L47 (mm),F49 (N),L49 (mm),F50 (N),L50 (mm)
1.33,18.7344,0.0398,20.4729,9.1232,18.6866,5.9805,18.8759,3.0447,0.4262,-0.0269,19.5041,-0.0068
1.34,18.8919,0.0369,20.4966,9.0343,18.6986,6.0342,18.977,2.9927,0.482,0.0053,19.5219,0.044
1.35,18.8661,-0.0275,20.5189,9.1348,19.0413,6.0818,18.953,2.9997,0.4071,-0.0142,19.5612,-0.002
1.36,19.0294,-0.0002,20.711,9.0726,18.953,6.0453,19.2243,3.0814,0.2774,-0.0493,19.8999,0.0391
1.37,19.084,-0.033,20.6699,9.0355,19.1503,6.0895,19.1745,2.972,0.5258,0.0195,19.9344,-0.0226
1.38,19.053,-0.0153,20.7883,9.0726,19.3415,6.0879,19.3839,3.0852,0.4613,-0.0172,19.8529,-0.0516
1.39,19.3773,0.0281,20.751,9.0463,19.2734,6.0561,19.5615,3.0414,0.5007,0.0345,19.8993,-0.0084
1.4,19.4825,0.0143,20.8309,9.0438,19.5015,6.0769,19.5601,3.0064,0.5631,0.0318,20.0601,0.0145
1.41,19.4633,0.0017,21.0553,9.0876,19.527,5.9927,19.636,3.0264,0.4456,-0.0253,20.1632,-0.0177
1.42,19.616,0.0207,21.028,9.0643,19.3826,6.0153,19.6432,2.9942,0.4352,0.0045,20.2095,0.0646
1.43,19.4903,-0.0733,21.222,9.0917,19.7429,6.059,19.678,2.997,0.3683,-0.0736,20.3338,-0.0123
1.44,19.4939,0.0147,21.2853,9.0989,19.71,5.9898,19.8829,3.0723,0.2963,-0.0084,20.5238,0.0277
1.45,19.7498,-0.0097,21.0881,9.0394,19.8714,6.1152,19.8782,3.0181,0.4789,-0.0046,20.5403,0.0193
1.46,19.7661,-0.0023,21.3194,9.0972,20.0066,6.0788,20.066,3.043,0.4491,0.0118,20.4433,0.0117
1.47,19.94,0.079,21.3045,9.0397,20.0007,6.0156,20.1456,3.0291,0.5992,0.0491,20.5621,0.0055
1.48,19.832,0.0098,21.2543,9.0369,20.0583,6.0942,20.0572,2.9738,0.5137,-0.0033,20.5424,-0.0225
1.49,19.8733,0.0328,21.541,9.1305,20.0561,6.0465,20.2516,3.0289,0.5415,-0.0352,20.4643,-0.017
1.5,20.036,-0.0135,21.432,9.067,20.0635,6.0063,20.1037,2.9714,0.4108,-0.0157,20.7161,0.0129
1.51,19.9597,-0.0326,21.5848,9.0865,20.2216,6.1003,20.1828,3.0149,0.4185,-0.0231,20.784,0.001
1.52,20.0992,0.0184,21.6312,9.0569,20.3049,6.0379,20.4707,3.0585,0.3903,-0.0575,20.8162,0.037
1.53,20.0347,0.0426,21.516,9.0022,20.447,6.133,20.403,3.0104,0.4331,0.0418,20.9162,0.0886
1.54,20.0586,-0.0036,21.6522,9.1008,20.3953,6.0859,20.5287,3.0518,0.4932,-0.0043,20.7269,-0.0205
1.55,20.2541,0.0611,21.5919,9.0238,20.442,6.0121,20.6355,3.0315,0.4218,0.0369,20.906,-0.0002
1.56,20.2425,-0.0219,21.7198,9.0746,20.541,6.0418,20.5028,2.9754,0.5807,-0.0148,20.9107,-0.0502
1.57,20.2661,0.036,21.8083,9.1585,20.5262,6.0312,20.6506,3.0011,0.3563,-0.0436,20.8685,-0.0529
1.58,20.3559,-0.0143,21.6994,9.0727,20.4615,6.0523,20.6543,2.993,0.4894,-0.0008,21.0452,0.0282
1.59,20.1714,-0.0596,21.9727,9.1116,20.646,6.0649,20.6238,3.0177,0.422,-0.0279,21.021,0.0036
1.6,20.3713,0.0092,21.958,9.0898,20.7218,6.0713,20.8139,3.059,0.3758,-0.0234,20.9015,0.0466
1.61,20.4174,-0.0122,21.8975,9.0352,20.8106,6.0882,20.8002,3.0244,0.5086,0.0627,21.174,0.0326
1.62,20.2958,0.0474,21.9885,9.0837,20.8639,6.0192,20.8637,3.0768,0.3196,-0.0337,21.0746,-0.0346
1.63,20.5558,0.0725,21.9619,9.0635,20.8002,5.9869,20.9057,3.0228,0.5532,0.0203,21.171,0.013
1.64,20.4306,-0.0448,21.9837,9.0737,20.8841,6.0977,20.8576,2.9894,0.4548,0.0024,21.1015,-0.0965
1.65,20.5076,-0.0025,22.224,9.1425,20.8659,6.0021,20.8914,2.9976,0.4332,-0.0505,21.0141,-0.0381
1.66,20.4874,-0.0249,22.2425,9.0485,20.979,6.0649,20.9128,3.013,0.4787,-0.006,21.262,0.0387
1.67,20.3537,-0.07,22.1925,9.1175,21.0713,6.1054,20.8726,3.0153,0.4729,-0.0277,21.1667,0.0085
1.68,20.5906,0.0089,22.3106,9.0761,21.0561,6.0382,21.1724,3.1157,0.3829,-0.0158,21.2235,0.0401
1.69,20.5428,-0.022,22.127,9.028,21.2227,6.065,20.9258,3.018,0.5924,0.0602,21.321,0.0346
1.7,20.6252,0.0176,22.1953,9.1134,21.2563,6.0426,21.1842,3.0182,0.4265,-0.0002,21.298,-0.0213
1.71,20.7375,0.0919,22.225,9.046,21.1285,5.9857,21.063,3.0196,0.5017,0.0021,21.3228,0.0611
1.72,20.5951,-0.0123,22.3245,9.0839,21.2313,6.0666,20.9948,2.9818,0.5111,-0.0021,21.2857,-0.0365
1.73,20.6629,0.0329,22.351,9.1339,21.15,6.0047,21.1026,2.9725,0.3785,-0.054,21.251,-0.0485
1.74,20.735,-0.0218,22.3671,9.0706,21.1807,6.0442,20.9838,2.9934,0.4475,0.0245,21.3647,0.0123
1.75,20.5861,-0.0658,22.4013,9.1779,21.4673,6.0976,21.1201,3.0693,0.4372,-0.0266,21.3526,-0.0708
1.76,20.7265,0.0284,22.4896,9.0709,21.3058,6.0547,21.3657,3.1158,0.4764,0.0202,21.394,0.0315
1.77,20.7913,0.0038,22.3399,8.9956,21.4404,6.0336,21.113,3.0274,0.5427,0.0649,21.4852,0.0391
1.78,20.6932,0.0416,22.4794,9.1011,21.4429,6.0402,21.2726,3.0796,0.4644,-0.0071,21.394,-0.0207
1.79,20.8077,0.061,22.4517,9.0727,21.3968,6.017,21.2928,3.0135,0.3788,0.0471,21.4283,0.0274
1.8,20.8369,-0.0123,22.4543,9.099,21.5229,6.0895,21.1813,2.9584,0.4665,-0.0114,21.4298,-0.0002
1.81,20.7997,0.0218,22.6179,9.1332,21.3859,6.0362,21.3663,2.9833,0.4473,-0.0771,21.3329,-0.0616
1.82,20.6917,-0.0184,22.4803,9.096,21.5462,6.0636,21.272,3.0079,0.4432,-0.0086,21.443,-0.0325
1.83,20.7136,-0.0662,22.5208,9.1218,21.4966,6.1222,21.2822,3.0455,0.4693,-0.0314,21.4766,-0.0123
1.84,20.8116,0.0256,22.6601,9.0365,21.4441,6.0606,21.4358,3.0526,0.3874,0.0021,21.5134,0.0512
1.85,20.8647,0.0082,22.4721,9.0147,21.562,6.0823,21.3628,3.0025,0.5687,0.0655,21.648,0.0639
1.86,20.9433,0.0156,22.6886,9.1104,21.5361,5.9913,21.429,3.0326,0.4669,-0.0035,21.492,-0.0212
1.87,21.0405,0.0302,22.572,9.0084,21.5408,5.9915,21.4177,3.0016,0.5141,0.0476,21.5928,-0.0174
1.88,20.906,-0.055,22.5662,9.066,21.5837,6.1075,21.2989,3.0214,0.5698,-0.0184,21.6175,-0.0051
1.89,20.955,0.0206,22.908,9.1356,21.5705,6.0282,21.5025,3.0379,0.4404,-0.0534,21.3984,-0.0727
1.9,20.9368,-0.0369,22.7361,9.0622,21.663,6.0571,21.3943,2.9997,0.4543,-0.0249,21.5384,0.0373
1.91,20.7831,-0.033,22.786,9.121,21.8045,6.0838,21.5104,3.0072,0.4128,0.0085,21.6361,-0.0002
1.92,20.979,0.0021,22.8138,9.0573,21.6156,6.0539,21.6518,3.0336,0.4175,0.021,21.5232,-0.0325
1.93,21.0257,-0.0045,22.7343,8.9825,21.7681,6.0767,21.3484,3.004,0.5219,0.0364,21.6535,0.0761
1.94,20.979,0.0018,22.8412,9.0828,21.76,6.0139,21.516,3.0946,0.3423,-0.0138,21.6259,0.0123
1.95,21.1933,0.0538,22.859,9.0645,21.6107,6.039,21.492,3.014,0.5161,0.0224,21.6492,0.0168
1.96,20.93,-0.0311,22.8373,9.0611,21.7269,6.065,21.3719,2.9582,0.4631,0.0086,21.7392,-0.0184
1.97,21.0052,-0.0247,22.885,9.1339,21.6901,6.0297,21.5942,3.0642,0.3281,-0.049,21.5686,-0.0424
1.98,21.0619,-0.0321,22.8674,9.0384,21.7898,6.0862,21.565,3.02,0.3825,0.0244,21.712,0.0242
1.99,20.9165,-0.0537,22.9367,9.0949,21.8751,6.1134,21.6998,3.067,0.3883,-0.0418,21.672,-0.017
2,21.1089,0.0244,22.9982,9.0769,21.834,5.9707,21.7152,3.0679,0.422,0.0279,21.5795,-0.0495
2.01,21.1224,-0.0194,22.8816,9.0352,21.8265,6.0471,21.589,2.993,0.52,0.034,21.6956,0.0443
2.02,21.101,0.0123,23.0016,9.1299,21.938,6.0134,21.5267,3.0612,0.4487,-0.0006,21.712,-0.0002
2.03,21.1834,0.0289,22.9504,9.0351,21.7752,6.006,21.565,2.9863,0.4817,-0.0037,21.7962,0.037
2.04,21.1038,-0.0222,22.9725,9.1293,21.8535,6.0694,21.516,2.9919,0.4091,-0.0469,21.7442,-0.0285
2.05,21.1068,0.037,23.099,9.1241,21.931,5.98,21.7003,3.0613,0.3597,-0.0464,21.5732,-0.0449
2.06,21.0892,-0.0244,22.981,9.0604,21.9221,6.0713,21.7005,3.0219,0.5183,0.0422,21.7493,0.045
2.07,20.9891,-0.0452,23.1327,9.0847,22.1151,6.1294,21.6305,3.0529,0.3982,-0.0124,21.6871,-0.0734
2.08,21.244,0.0436,23.093,9.0655,21.931,6.0192,21.7921,3.0547,0.4471,0.0343,21.7174,0.0153
2.09,21.232,0.0039,22.9127,9.016,21.936,6.091,21.7074,3.0001,0.554,0.044,21.812,0.0737
2.1,21.2674,0.026,23.0641,9.09,21.9744,5.9967,21.7477,3.0316,0.4166,-0.0147,21.8184,0.053
2.11,21.3182,0.0209,23.0052,9.048,21.9648,6.0166,21.684,3.0015,0.5018,0.0267,21.7736,0.0266
2.12,21.1897,-0.0181,23.0543,9.095,21.98,6.0931,21.6152,3.0217,0.374,-0.0611,21.8242,0.0225
